,link,title,city,price,bouwjaar,kamers,woonlagen,woonen_m2,perceel_m2,makelaars,makelaars_phone
44,https://www.funda.nl/koop/enschede/huis-87321954-brinkstraat-442/,Brinkstraat 442 7541 AW Enschede ,enschede,445000,1956,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,134.0,558,EXTRA Makelaars,053-4304304
347,https://www.funda.nl/koop/enschede/huis-41569172-gronausestraat-120/,Gronausestraat 120 7533 BR Enschede ,enschede,489000,1956,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,135.0,637,Snelder Zijlstra Makelaars,053 485 22 22
28,https://www.funda.nl/koop/enschede/huis-41960578-oldenzaalsestraat-665/,Oldenzaalsestraat 665 7524 AC Enschede ,enschede,498000,1956,7 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,150.0,510,Kreffer Makelaardij,0541-744016
115,https://www.funda.nl/koop/enschede/huis-87141126-deurningerstraat-315/,Deurningerstraat 315 7522 CD Enschede ,enschede,295000,1956,4 kamers (3 slaapkamers),3 woonlagen en een kelder,132.0,235,Happy Living Makelaars,053 2340567
121,https://www.funda.nl/koop/enschede/huis-87265829-van-diemenstraat-83/,Van Diemenstraat 83 7535 AL Enschede ,enschede,275000,1955,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,134.0,251,EXTRA Makelaars,053-4304304
135,https://www.funda.nl/koop/enschede/huis-41900041-minister-de-savornin-lohmanlaan-28/,Minister De Savornin Lohmanlaan 28 7522 AP Enschede ,enschede,325000,1954,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,141.0,335,Thoma Post Makelaars Enschede,053-4340038
285,https://www.funda.nl/koop/enschede/huis-87196507-blekerstraat-257/,Blekerstraat 257 7513 DV Enschede ,enschede,300000,1953,8 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,148.0,222,EXTRA Makelaars,053-4304304
290,https://www.funda.nl/koop/enschede/huis-41956292-van-t-hofflaan-30/,Van 't Hofflaan 30 7535 CM Enschede ,enschede,495000,1945-1959,7 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,140.0,800,Thoma Post Makelaars Enschede,053-4340038
118,https://www.funda.nl/koop/enschede/huis-41905876-padangstraat-41/,Padangstraat 41 7535 AA Enschede ,enschede,340000,1939,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,128.0,193,Thoma Post Makelaars Enschede,053-4340038
74,https://www.funda.nl/koop/enschede/huis-41406295-zweringweg-121/,Zweringweg 121 7545 CS Enschede ,enschede,275000,1939,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,181.0,255,Keuter Makelaars,053-20 30 123
293,https://www.funda.nl/koop/enschede/huis-41520548-gronausestraat-34/,Gronausestraat 34 7533 BN Enschede ,enschede,350000,1938,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,173.0,329,Thoma Post Makelaars Enschede,053-4340038
49,https://www.funda.nl/koop/enschede/huis-41909894-oostveenweg-156/,Oostveenweg 156 7533 VX Enschede ,enschede,400000,1938,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,165.0,231,Snelder Zijlstra Makelaars,053 485 22 22
59,https://www.funda.nl/koop/enschede/huis-41734021-brinkstraat-177/,Brinkstraat 177 7512 ED Enschede ,enschede,300000,1937,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,141.0,177,Snelder Zijlstra Makelaars,053 485 22 22
1,https://www.funda.nl/koop/enschede/huis-41810736-goudsbloemstraat-29/,Goudsbloemstraat 29 7531 DD Enschede ,enschede,238000,1936,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,130.0,150,HOME makelaars,074-7002130
95,https://www.funda.nl/koop/enschede/huis-41792129-mr-troelstrastraat-19/,Mr. Troelstrastraat 19 7522 BD Enschede ,enschede,378000,1935,6 kamers (4 slaapkamers),1 apart toilet,182.0,271,Prenger Makelaardij o.g. B.V.,053-4315451
324,https://www.funda.nl/koop/enschede/huis-41788601-gronausestraat-46/,Gronausestraat 46 7533 BN Enschede ,enschede,300000,1935,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,138.0,280,Snelder Zijlstra Makelaars,053 485 22 22
77,https://www.funda.nl/koop/enschede/huis-41983192-deurningerstraat-233-235/,Deurningerstraat 233 235 7522 CC Enschede ,enschede,395000,1935,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,159.0,161,Thoma Post Makelaars Enschede,053-4340038
31,https://www.funda.nl/koop/enschede/huis-41793022-kerkstraat-36/,Kerkstraat 36 7532 AT Enschede ,enschede,198500,1935,6 kamers (4 slaapkamers),2 woonlagen en een zolder,127.0,159,KockvanBenthem Makelaars,0541-522022
56,https://www.funda.nl/koop/enschede/huis-41830744-lasondersingel-149/,Lasondersingel 149 7514 BR Enschede ,enschede,289000,1935,7 kamers (5 slaapkamers),1 apart toilet,160.0,195,Snelder Zijlstra Makelaars,053 485 22 22
78,https://www.funda.nl/koop/enschede/huis-41957684-gronausestraat-191/,Gronausestraat 191 7533 BZ Enschede ,enschede,298000,1934,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,131.0,269,Snelder Zijlstra Makelaars,053 485 22 22
162,https://www.funda.nl/koop/enschede/huis-41951002-laaressingel-78/,Laaressingel 78 7514 EV Enschede ,enschede,325000,1934,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,149.0,245,Makelaarsland,088-200 2000
21,https://www.funda.nl/koop/enschede/huis-41856796-padangstraat-11/,Padangstraat 11 7535 AA Enschede ,enschede,300000,1932,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,135.0,166,Woonaccent Makelaars Enschede,053-4802444
